stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Reliance Industries Ltd.,1080.65,1080.45,58.18,0.60,10.00,65.00,18.57,13.59,639.38,1.69,88.0,371019.0,290042.0,242025.0,233158.0,329076.0,55.48,53.08,96.9,84.56,70.2,6339.0,6335.0,3251.0,3240.0,3236.0,35163.0,33612.0,31425.0,27384.0,22719.0
ITC Ltd.,166.35,166.40,12.06,3.46,1.00,575.00,13.8,16.96,45.52,3.65,608.0,44995.65,40627.54,40088.68,36582.67,36507.4,10.19,9.22,8.43,7.74,12.05,1225.86,1220.43,1214.74,804.72,801.55,12464.32,11223.25,10200.9,9328.37,9607.73
HDFC Bank Ltd.,829.70,829.65,45.98,0.90,1.00,750.00,18.04,25.52,272.12,3.05,565.0,78.6,67.8,57.2,48.8,42.1,544.66,519.02,512.51,505.64,501.3,21078.14,17486.75,14549.66,12296.23,10215.92
Asian Paints Ltd.,1606.20,1603.20,27.96,0.65,1.00,1050.00,57.34,73.14,92.66,17.33,862.0,16391.78,14167.86,12647.11,11830.33,11648.83,22.26,19.75,18.8,16.92,13.84,95.92,95.92,95.92,95.92,95.92,2134.76,1894.8,1803.1,1622.81,1327.4
Tata Consultancy Services Ltd.,1709.55,1708.75,87.56,1.75,1.00,3000.00,19.52,18.56,210.26,8.13,4990.0,123170.0,97356.0,92693.0,85864.0,73578.06,79.34,131.15,120.04,117.11,98.31,375.0,191.0,197.04,197.04,195.87,30065.0,25241.0,23653.0,23075.0,19256.96
Avenue Supermarts Ltd.,2092.95,2082.70,19.54,-,10.00,0.00,106.59,83.09,86.73,24.13,0.0,19916.25,15008.89,11881.12,8579.54,6433.52,15.0,12.57,8.56,5.67,3.85,624.08,624.08,624.08,561.54,561.54,936.35,784.66,482.64,318.53,210.67
Hindustan Unilever Ltd.,2179.25,2179.65,31.21,1.01,1.00,2200.00,69.84,61.93,35.27,61.79,1800.0,38224.0,34525.0,31890.0,31061.0,30805.62,27.89,24.2,20.75,19.12,19.95,216.0,216.0,216.43,216.39,216.35,6036.0,5237.0,4490.0,4137.0,4315.26
Housing Development Finance Corporation Ltd.,1584.40,1583.50,106.22,1.33,2.00,1050.00,14.91,16.79,440.28,3.60,910.0,43348.04,35185.17,33112.79,30905.12,27401.16,56.53,74.83,46.08,44.43,38.13,344.29,335.18,317.73,315.97,314.94,9632.46,12163.69,7442.64,7093.1,5990.14
Bharti Airtel Ltd.,421.10,421.35,-,0.59,5.00,50.00,-,0.12,234.55,1.80,56.2,49608.0,53663.0,62276.3,60300.3,55496.4,-4.58,0.2,-24.84,19.46,33.02,1998.7,1998.7,1998.7,1998.7,1998.7,-1829.0,79.2,-9925.6,7780.3,13200.5
Kotak Mahindra Bank Ltd.,1182.10,1181.65,31.83,0.07,5.00,16.00,37.12,25.52,221.64,5.33,14.0,25.52,21.54,18.57,11.42,24.2,954.38,952.82,920.45,917.19,386.18,4865.33,4084.3,3411.5,2089.78,1865.98
Infosys Ltd.,604.10,602.80,35.91,3.56,5.00,430.00,16.79,18.56,147.13,4.11,698.0,73107.0,61941.0,59289.0,53983.0,47300.0,33.66,71.28,60.16,55.26,102.33,2178.0,1092.0,1148.0,1148.0,574.0,14702.0,16155.0,13818.0,12693.0,12164.0
ICICI Bank Ltd.,311.45,311.15,11.86,0.32,2.00,50.00,26.24,25.52,162.72,1.91,150.0,5.23,10.56,16.84,16.75,19.32,1289.46,1285.81,1165.11,1163.17,1159.66,3363.3,6777.42,9801.08,9726.29,11175.35
Maruti Suzuki India Ltd.,4243.60,4246.35,203.74,1.89,5.00,1600.00,20.84,13.39,1527.46,2.78,1180.0,86020.3,79762.7,68034.8,57538.1,49970.64,248.3,255.62,242.91,177.58,122.85,151.0,151.0,151.0,151.0,151.0,7500.6,7721.8,7337.7,5364.3,3711.22
Nestle India Ltd.,15668.70,15654.55,204.28,2.18,10.00,3420.00,76.63,55.17,200.41,78.18,1309.0,12368.9,11292.27,10009.6,9223.8,8175.31,204.28,166.67,127.07,96.1,58.42,96.42,96.42,96.42,96.42,96.42,1966.55,1606.93,1225.19,926.54,563.27
Bajaj Finance Ltd.,2225.00,2219.35,84.81,0.27,2.00,300.00,26.17,23.33,322.94,6.89,222.0,17383.97,13287.77,9977.36,7293.54,5381.8,67.52,47.05,34.01,24.23,179.94,115.37,115.03,109.98,53.87,50.15,3890.34,2646.7,1836.55,1278.52,897.87
State Bank of India,186.60,186.55,13.16,-,1.00,0.00,14.18,108.12,219.91,0.85,174.0,0.97,-7.67,13.43,12.98,17.55,892.46,892.46,797.35,776.28,746.57,862.23,-6547.45,10484.1,9950.65,13101.57
Larsen & Toubro Ltd.,774.75,774.35,50.55,2.32,2.00,900.00,15.32,16.96,373.23,2.08,895.0,86987.86,74462.55,65723.86,63812.65,57017.41,47.63,38.46,39.0,53.71,54.46,280.55,280.27,186.59,186.3,185.91,6677.7,5387.3,5453.74,4999.58,5056.18
Wipro Ltd.,189.75,189.50,14.16,0.53,2.00,50.00,13.38,18.56,86.34,2.20,220.0,48123.8,44710.0,46047.8,44680.8,41635.0,12.67,16.26,33.61,33.38,33.38,1206.8,904.8,486.1,494.1,493.7,7614.0,7722.8,8161.7,8200.5,8193.1
Oil and Natural Gas Corporation Ltd.,65.75,65.75,16.19,10.65,5.00,140.00,4.06,3.67,161.36,0.41,156.6,109654.55,85004.1,77907.73,77741.75,82870.96,20.86,15.54,13.95,12.58,20.73,6290.15,6416.63,6416.63,4277.76,4277.76,26715.79,19945.26,17899.97,16139.93,17732.95
HCL Technologies Ltd.,415.20,413.55,31.32,1.93,2.00,400.00,13.2,18.56,112.17,3.70,840.0,26012.0,22073.0,19318.31,17153.44,16497.37,59.69,52.54,48.18,45.17,85.66,271.25,278.45,285.36,281.2,140.0,8185.0,7362.0,6872.69,6345.95,5984.62
Dabur India Ltd.,434.90,434.85,7.51,0.63,1.00,275.00,57.9,61.93,22.04,19.73,335.0,6273.19,5609.06,5369.84,5422.57,5431.28,7.16,6.09,5.67,5.33,4.35,176.63,176.15,176.15,175.91,175.65,1264.29,1072.05,998.33,937.26,762.58
